Region ID,Region name,objects_total,n_animals,relative_abundance_z,rel_abundance_method,reference_mean,reference_std
50,Precommissural nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
51,Intralaminar nuclei of the dorsal thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
52,"Entorhinal area, lateral part, layer 3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
53,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
54,medial forebrain bundle,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
55,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
56,Nucleus accumbens,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
57,paramedian sulcus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
58,Medial terminal nucleus of the accessory optic tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
59,Intermediodorsal nucleus of the thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
60,"Entorhinal area, lateral part, layer 6b",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
61,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
62,medial longitudinal fascicle,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
63,"Paraventricular hypothalamic nucleus, descending division",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
64,Anterodorsal nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
65,parafloccular sulcus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
66,Lateral terminal nucleus of the accessory optic tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
67,Interstitial nucleus of Cajal,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
68,"Frontal pole, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
69,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
70,midbrain related,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
71,"Paraventricular hypothalamic nucleus, magnocellular division",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
72,Anterodorsal preoptic nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
73,ventricular systems,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
74,"Lateral visual area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
75,Dorsal terminal nucleus of the accessory optic tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
76,Interstitial nucleus of the vestibular nerve,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
77,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
78,middle cerebellar peduncle,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
79,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
80,Anterior hypothalamic area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
81,lateral ventricle,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
82,"Nucleus of the lateral lemniscus, dorsal part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
83,Inferior olivary complex,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
84,"Prelimbic area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
85,spinocerebellar tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
86,middle thalamic commissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
87,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
88,Anterior hypothalamic nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
89,rhinocele,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
90,"Nucleus of the lateral lemniscus, horizontal part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
91,Interposed nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
92,"Entorhinal area, lateral part, layer 4",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
93,motor root of the trigeminal nerve,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
94,"Paraventricular hypothalamic nucleus, parvicellular division",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
95,Agranular insular area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
96,Dorsal cochlear nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
97,"Temporal association areas, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
98,subependymal zone,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
